3783 14124
1 2 1
2 3 1
2 4 1
2 5 1
2 6 1
2 7 1
2 8 1
2 9 1
2 10 1
2 11 1
2 12 1
2 13 1
2 14 1
2 15 1
2 16 1
2 17 1
2 18 1
2 19 1
2 20 1
2 21 1
2 22 1
2 23 1
2 24 1
2 25 1
2 26 1
2 27 1
2 28 1
2 29 1
2 30 1
2 31 1
2 32 1
2 33 1
2 34 1
2 35 1
2 36 1
2 37 1
2 38 1
2 39 1
2 40 1
2 41 1
2 42 1
2 43 1
2 44 1
2 45 1
2 46 1
2 47 1
2 48 1
2 49 1
2 50 1
2 51 1
2 52 1
2 53 1
2 54 1
2 55 1
2 56 1
2 57 1
2 58 1
2 59 1
2 60 1
2 61 1
2 62 1
2 63 1
2 64 1
2 65 1
2 66 1
2 67 1
2 68 1
2 69 1
2 70 1
2 71 1
2 72 1
2 73 1
2 74 1
2 75 1
2 76 1
2 77 1
2 78 1
2 79 1
2 80 1
2 81 1
2 82 1
2 83 1
2 84 1
2 85 1
2 86 1
2 87 1
2 88 1
2 89 1
2 90 1
2 91 1
2 92 1
2 93 1
2 94 1
2 95 1
2 96 1
2 97 1
2 98 1
2 99 1
2 100 1
2 101 1
2 102 1
2 103 1
2 104 1
2 105 1
2 106 1
2 107 1
2 108 1
2 109 1
2 110 1
2 111 1
2 112 1
2 113 1
2 114 1
2 115 1
2 116 1
2 117 1
2 118 1
2 119 1
2 120 1
2 121 1
2 122 1
2 123 1
2 124 1
2 125 1
2 126 1
2 127 1
2 128 1
2 129 1
2 130 1
2 131 1
2 132 1
2 133 1
2 134 1
2 135 1
2 136 1
2 137 1
2 138 1
2 139 1
2 140 1
2 141 1
2 142 1
2 143 1
2 144 1
2 145 1
2 146 1
2 147 1
2 148 1
2 149 1
2 150 1
2 151 1
2 152 1
2 153 1
2 154 1
2 155 1
2 156 1
2 157 1
2 158 1
2 159 1
2 160 1
2 161 1
2 162 1
2 163 1
2 164 1
2 165 1
2 166 1
2 167 1
2 168 1
2 169 1
2 170 1
2 171 1
2 172 1
2 173 1
2 174 1
2 175 1
2 176 1
2 177 1
2 178 1
2 179 1
2 180 1
2 181 1
2 182 1
2 183 1
2 184 1
2 185 1
2 186 1
2 187 1
2 188 1
2 189 1
2 190 1
2 191 1
2 192 1
2 193 1
2 194 1
2 195 1
2 196 1
2 197 1
2 198 1
2 199 1
2 200 1
2 201 1
2 202 1
2 203 1
2 204 1
2 205 1
2 206 1
2 207 1
2 208 1
2 209 1
2 210 1
2 211 1
2 212 1
2 213 1
2 214 1
2 215 1
2 216 1
2 217 1
2 218 1
2 219 1
2 220 1
2 221 1
2 222 1
2 223 1
2 224 1
2 225 1
2 226 1
2 227 1
2 228 1
2 229 1
2 230 1
2 231 1
2 232 1
2 233 1
2 234 1
2 235 1
2 236 1
2 237 1
2 238 1
2 239 1
2 240 1
2 241 1
2 242 1
2 243 1
2 244 1
2 245 1
2 246 1
2 247 1
2 248 1
2 249 1
2 250 1
2 251 1
2 252 1
2 253 1
2 254 1
2 255 1
2 256 1
2 257 1
2 258 1
2 259 1
2 260 1
2 261 1
2 262 1
2 263 1
2 264 1
2 265 1
2 266 1
2 267 1
2 268 1
2 269 1
2 270 1
2 271 1
2 272 1
2 273 1
2 274 1
2 275 1
2 276 1
2 277 1
2 278 1
2 279 1
2 280 1
2 281 1
2 282 1
2 283 1
2 284 1
2 285 1
2 286 1
2 287 1
2 288 1
2 289 1
2 290 1
2 291 1
2 292 1
2 293 1
2 294 1
2 295 1
2 296 1
2 297 1
2 298 1
2 299 1
2 300 1
2 301 1
2 302 1
2 303 1
2 304 1
2 305 1
2 306 1
2 307 1
2 308 1
2 309 1
2 310 1
2 311 1
2 312 1
2 313 1
2 314 1
2 315 1
2 316 1
2 317 1
2 318 1
2 319 1
2 320 1
2 321 1
2 322 1
2 323 1
2 324 1
2 325 1
2 326 1
2 327 1
2 328 1
2 329 1
2 330 1
2 331 1
2 332 1
2 333 1
2 334 1
2 335 1
2 336 1
2 337 1
2 338 1
2 339 1
2 340 1
2 341 1
2 342 1
2 343 1
2 344 1
2 345 1
2 346 1
2 347 1
2 348 1
2 349 1
2 350 1
2 351 1
2 352 1
2 353 1
2 354 1
2 355 1
2 356 1
2 357 1
2 358 1
2 359 1
2 360 1
2 361 1
2 362 1
2 363 1
2 364 1
2 365 1
2 366 1
2 367 1
2 368 1
2 369 1
2 370 1
2 371 1
2 372 1
2 373 1
2 374 1
2 375 1
2 376 1
2 377 1
2 378 1
2 379 1
2 380 1
2 381 1
2 382 1
2 383 1
2 384 1
2 385 1
2 386 1
2 387 1
2 388 1
2 389 1
2 390 1
2 391 1
2 392 1
2 393 1
2 394 1
2 395 1
2 396 1
2 397 1
2 398 1
2 399 1
2 400 1
2 401 1
2 402 1
2 403 1
2 404 1
2 405 1
2 406 1
2 407 1
2 408 1
2 409 1
2 410 1
2 411 1
2 412 1
2 413 1
2 414 1
2 415 1
2 416 1
2 417 1
2 418 1
2 419 1
2 420 1
2 421 1
2 422 1
2 423 1
2 424 1
2 425 1
2 426 1
2 427 1
2 428 1
2 429 1
2 430 1
2 431 1
2 432 1
2 433 1
2 434 1
2 435 1
2 436 1
2 437 1
2 438 1
2 439 1
2 440 1
2 441 1
2 442 1
2 443 1
2 444 1
2 445 1
2 446 1
2 447 1
2 448 1
2 449 1
2 450 1
2 451 1
2 452 1
2 453 1
2 454 1
2 455 1
2 456 1
2 457 1
2 458 1
2 459 1
2 460 1
2 461 1
2 462 1
2 463 1
2 464 1
2 465 1
2 466 1
2 467 1
2 468 1
2 469 1
2 470 1
2 471 1
2 472 1
2 473 1
2 474 1
2 475 1
2 476 1
2 477 1
2 478 1
2 479 1
2 480 1
2 481 1
2 482 1
2 483 1
2 484 1
2 485 1
2 486 1
2 487 1
2 488 1
2 489 1
2 490 1
2 491 1
2 492 1
2 493 1
2 494 1
2 495 1
2 496 1
2 497 1
2 498 1
2 499 1
2 500 1
2 501 1
2 502 1
2 503 1
2 504 1
2 505 1
2 506 1
2 507 1
2 508 1
2 509 -1
2 510 -1
2 511 -1
2 512 -1
50 513 1
50 514 1
50 515 1
50 516 1
50 517 1
50 518 1
50 519 1
50 520 1
50 357 1
50 521 1
50 522 1
31 50 1
50 523 1
50 524 1
50 525 1
50 526 1
50 527 1
50 528 1
50 350 1
22 50 1
50 529 1
50 530 1
50 73 1
50 134 1
50 531 1
50 532 1
50 533 1
50 534 1
50 136 1
50 140 1
50 535 1
50 536 1
50 154 1
50 537 1
50 538 1
50 54 1
50 51 1
50 539 1
50 540 1
50 541 1
50 542 1
50 543 1
50 71 1
50 544 1
50 545 1
50 150 1
50 263 1
50 546 1
50 547 1
50 548 1
50 549 1
50 550 1
50 551 1
50 552 1
50 553 1
50 554 1
50 555 1
50 556 1
50 557 1
50 558 1
50 559 1
50 560 1
50 561 1
50 397 1
50 75 1
50 562 1
50 563 1
50 564 1
50 565 1
50 566 1
44 50 1
50 567 1
50 568 1
50 569 1
50 97 1
47 50 1
50 570 1
50 277 1
50 571 1
50 572 1
50 573 1
50 574 1
50 575 1
50 576 1
50 137 1
50 577 1
50 578 1
50 579 1
50 580 1
50 581 1
50 582 1
50 583 1
50 584 1
50 81 1
50 585 1
21 50 1
50 586 1
50 69 1
50 374 1
50 587 1
50 588 1
50 303 1
50 589 1
50 590 1
50 591 1
50 592 1
50 593 1
50 594 1
50 595 1
50 596 1
50 597 1
50 598 1
50 599 1
50 52 1
50 600 1
50 601 1
50 602 1
50 603 1
50 604 1
50 145 1
50 605 1
50 606 1
50 607 1
50 155 1
50 608 1
50 609 1
50 610 1
50 56 1
50 611 1
50 239 1
50 612 1
50 80 1
50 613 1
50 614 1
50 615 1
50 616 1
50 617 1
50 618 1
50 619 1
50 620 1
12 50 1
50 621 1
50 622 1
50 623 1
50 624 1
50 625 1
14 50 1
50 364 1
50 626 1
50 306 1
50 84 1
50 627 1
50 628 1
50 629 1
50 270 1
50 138 1
50 630 1
50 343 1
50 631 1
50 632 1
50 633 1
50 634 1
50 635 1
50 636 1
50 637 1
50 638 1
50 639 1
50 640 1
46 50 1
50 641 1
50 642 1
50 643 1
50 644 1
50 645 1
50 646 1
50 647 1
50 648 1
50 649 1
50 650 1
50 651 1
50 652 1
50 394 1
50 653 1
50 654 1
50 655 1
50 656 1
50 657 1
50 658 1
50 659 1
50 660 1
50 661 1
50 662 1
50 663 1
50 664 1
50 665 1
50 666 1
50 667 1
50 668 1
50 669 1
50 670 1
50 403 1
50 671 1
50 672 1
50 673 1
50 674 1
50 675 1
50 676 1
50 677 1
50 678 1
50 679 1
50 680 1
50 681 1
50 682 1
50 683 1
50 684 1
50 685 1
50 686 1
50 687 1
50 688 1
50 689 1
50 690 1
9 50 1
50 691 1
50 692 1
38 50 1
50 693 1
50 694 1
50 695 1
50 696 1
50 697 1
50 698 1
50 699 1
50 700 1
50 701 -1
50 702 -1
50 703 -1
50 704 -1
50 705 -1
691 706 1
691 707 1
691 708 1
613 691 1
691 709 1
691 710 1
691 711 1
611 691 1
691 712 1
691 713 1
63 691 1
691 714 1
691 715 1
691 716 1
691 717 1
691 718 1
410 691 1
691 719 1
691 720 1
691 721 1
691 722 1
691 723 1
691 724 1
691 725 1
691 726 1
691 727 1
116 691 1
691 728 1
691 729 1
691 730 1
691 731 1
691 732 1
124 691 1
541 691 1
691 733 1
691 734 1
691 735 1
691 736 1
192 691 1
691 737 1
691 738 1
321 691 1
617 691 1
691 739 1
691 740 1
16 691 1
350 691 1
118 691 1
51 691 1
691 741 1
691 742 1
691 743 1
691 744 1
691 745 1
41 691 1
185 691 1
691 746 1
691 747 1
691 748 1
691 749 1
691 750 1
277 691 1
691 751 1
196 691 1
691 752 1
691 753 1
691 754 1
691 755 1
691 756 1
104 691 1
691 757 1
691 758 1
515 691 1
691 759 1
691 760 1
107 691 1
660 691 1
224 691 1
691 761 1
691 762 1
691 763 1
59 691 1
245 691 1
691 764 1
691 765 1
691 766 1
691 767 1
374 691 1
691 768 1
236 691 1
114 691 1
691 769 1
563 691 1
683 691 1
616 691 1
585 691 1
691 770 1
691 771 1
186 691 1
691 772 1
691 773 1
691 774 1
60 691 1
691 775 1
691 776 1
691 777 1
691 778 1
691 779 1
691 780 1
588 691 1
218 691 1
691 781 1
691 782 1
691 783 1
108 691 1
691 784 1
691 785 1
222 691 1
691 786 1
691 787 1
610 691 1
691 788 1
554 691 1
691 789 1
691 790 1
691 791 1
691 792 1
549 691 1
691 793 1
691 794 1
691 795 1
292 691 1
691 796 1
