;;;Gurobi;;;;;Hexaly;;;;;;MAB;;;;;BVNS;;;;
Group;Instance;Vmin;Error;TTB;Cpu T.;Optimal;Desv;Error;TTB;Cpu T. Parl;Optimal;Feasible/opt;Desv;Error;TTB;Cpu T.;Optimal;Desv;Error;TTB;Cpu T.;Optimal;Desv
big;129-Randomized_edges-0.25-can__161.hwb;1;;;;;-50,00%;4;1;600;FALSE;HxSolutionStatus.FEASIBLE;150,00%;4;96;602,592;FALSE;150,00%;1,01;61;600;FALSE;0,00%
big;137-Randomized_edges-0.25-dwt__198.hwb;1;;;;;-50,00%;2;173;600;FALSE;HxSolutionStatus.FEASIBLE;50,00%;3;36;601,855;FALSE;100,00%;1,002;60;600;FALSE;0,00%
big;140-Randomized_edges-0.25-dwt__234.hwb;0;;;;;0,00%;1;1;600;FALSE;HxSolutionStatus.FEASIBLE;100,00%;1;83;601,733;FALSE;100,00%;0,234;0;0;TRUE;0,00%
big;164-Randomized_edges-0.25-impcol_a.hwb;0;;;;;0,00%;2;93;600;FALSE;HxSolutionStatus.FEASIBLE;200,00%;4;27;601,501;FALSE;400,00%;0,206;7;7;TRUE;0,00%
big;173-Randomized_edges-0.25-lshp_577.hwb;0;;;;;0,00%;3;4;600;FALSE;HxSolutionStatus.FEASIBLE;300,00%;4;205;615,746;FALSE;400,00%;0,577;493;493;TRUE;0,00%
big;175-Randomized_edges-0.25-lund_a.hwb;8;;;;;-88,89%;10;584;600;FALSE;HxSolutionStatus.FEASIBLE;22,22%;18;71;601,999;FALSE;111,11%;8,012;588;600;FALSE;0,00%
big;176-Randomized_edges-0.25-lund_b.hwb;8;;;;;-88,89%;12;73;600;FALSE;HxSolutionStatus.FEASIBLE;44,44%;17;309;602,379;FALSE;100,00%;8,002;323;600;FALSE;0,00%
big;181-Randomized_edges-0.25-nos1.hwb;0;;;;;0,00%;1;18;600;FALSE;HxSolutionStatus.FEASIBLE;100,00%;2;0;601,843;FALSE;200,00%;0,237;0;0;TRUE;0,00%
big;195-Randomized_edges-0.25-shl__200.hwb;1;;;;;-50,00%;2;481;600;FALSE;HxSolutionStatus.FEASIBLE;50,00%;14;632;633,516;FALSE;650,00%;1,012;289;600;FALSE;0,00%
big;196-Randomized_edges-0.25-shl__400.hwb;1;;;;;-50,00%;2;340;600;FALSE;HxSolutionStatus.FEASIBLE;50,00%;8;71;656,813;FALSE;350,00%;1,002;265;600;FALSE;0,00%
big;197-Randomized_edges-0.25-shl____0.hwb;1;;;;;-50,00%;2;72;600;FALSE;HxSolutionStatus.FEASIBLE;50,00%;30;71;603,247;FALSE;1450,00%;1,004;557;602;FALSE;0,00%
big;206-Randomized_edges-0.25-west0167.hwb;1;;;;;-50,00%;2;197;600;FALSE;HxSolutionStatus.FEASIBLE;50,00%;4;49;601,499;FALSE;150,00%;1,002;129;600;FALSE;0,00%
big;223-Randomized_edges-0.5-bcspwr05.hwb;0;;;;;0,00%;2;1;600;FALSE;HxSolutionStatus.FEASIBLE;200,00%;2;249;611,474;FALSE;200,00%;0,443;0;0;TRUE;0,00%
big;231-Randomized_edges-0.5-bcsstk20.hwb;2;;;;;-66,67%;4;74;600;FALSE;HxSolutionStatus.FEASIBLE;66,67%;6;108;603,861;FALSE;133,33%;2,009;558;600;FALSE;0,00%
big;254-Randomized_edges-0.5-dwt__607.hwb;3;;;;;-75,00%;6;551;600;FALSE;HxSolutionStatus.FEASIBLE;75,00%;9;160;636,421;FALSE;150,00%;3,014;527;600;FALSE;0,00%
big;279-Randomized_edges-0.5-lshp_577.hwb;1;;;;;-50,00%;4;1;600;FALSE;HxSolutionStatus.FEASIBLE;150,00%;4;29;601,657;FALSE;150,00%;1,026;596;600;FALSE;0,00%
big;291-Randomized_edges-0.5-nos5.hwb;5;;;;;-83,33%;9;113;600;FALSE;HxSolutionStatus.FEASIBLE;66,67%;15;285;602,161;FALSE;166,67%;5,006;577;600;FALSE;0,00%
big;297-Randomized_edges-0.5-pores_3.hwb;2;;;;;-66,67%;6;32;600;FALSE;HxSolutionStatus.FEASIBLE;133,33%;8;72;616,315;FALSE;200,00%;2,061;599;600;FALSE;0,00%
big;314-Randomized_edges-0.5-west0479.hwb;4;;;;;-80,00%;8;157;600;FALSE;HxSolutionStatus.FEASIBLE;80,00%;17;385;623,006;FALSE;260,00%;4,021;387;600;FALSE;0,00%
big;319-Randomized_edges-0.75-494_bus.hwb;0;;;;;0,00%;1;39;600;FALSE;HxSolutionStatus.FEASIBLE;100,00%;1;477;604,146;FALSE;100,00%;0,494;0;0;TRUE;0,00%
big;323-Randomized_edges-0.75-ash292.hwb;1;;;;;-50,00%;3;25;600;FALSE;HxSolutionStatus.FEASIBLE;100,00%;5;116;602,994;FALSE;200,00%;1,012;495;600;FALSE;0,00%
big;349-Randomized_edges-0.75-dwt__198.hwb;0;;;;;0,00%;2;25;600;FALSE;HxSolutionStatus.FEASIBLE;200,00%;3;82;601,235;FALSE;300,00%;0,198;18;18;TRUE;0,00%
big;384-Randomized_edges-0.75-lshp_265.hwb;0;;;;;0,00%;2;21;600;FALSE;HxSolutionStatus.FEASIBLE;200,00%;3;5;605,957;FALSE;300,00%;0,265;9;9;TRUE;0,00%
big;390-Randomized_edges-0.75-mcca.hwb;84;;;;;-98,82%;84;241;600;FALSE;HxSolutionStatus.FEASIBLE;0,00%;103;492;606,563;FALSE;22,35%;84,006;420;600;FALSE;0,00%
big;393-Randomized_edges-0.75-nos1.hwb;0;;;;;0,00%;1;42;600;FALSE;HxSolutionStatus.FEASIBLE;100,00%;1;4;602,515;FALSE;100,00%;0,237;0;0;TRUE;0,00%
big;423-Randomized_edges-0.75-will199.hwb;0;;;;;0,00%;3;6;600;FALSE;HxSolutionStatus.FEASIBLE;300,00%;4;93;601,875;FALSE;400,00%;0,199;17;17;TRUE;0,00%
big;439-Randomized_vertices-0.15-bcsstk05.hwb;0;;;;;0,00%;0;8;8;TRUE;HxSolutionStatus.OPTIMAL;0,00%;4;472;601,806;FALSE;400,00%;0,153;0;0;TRUE;0,00%
big;443-Randomized_vertices-0.15-bcsstk20.hwb;0;;;;;0,00%;0;79;79;TRUE;HxSolutionStatus.OPTIMAL;0,00%;2;19;610,862;FALSE;200,00%;0,485;0;0;TRUE;0,00%
big;447-Randomized_vertices-0.15-can__161.hwb;0;;;;;0,00%;0;64;64;TRUE;HxSolutionStatus.OPTIMAL;0,00%;2;432;602,463;FALSE;200,00%;0,161;0;0;TRUE;0,00%
big;448-Randomized_vertices-0.15-can__229.hwb;0;;;;;0,00%;0;49;49;TRUE;HxSolutionStatus.OPTIMAL;0,00%;2;18;601,373;FALSE;200,00%;0,229;0;0;TRUE;0,00%
big;457-Randomized_vertices-0.15-dwt__221.hwb;0;;;;;0,00%;0;16;16;TRUE;HxSolutionStatus.OPTIMAL;0,00%;2;40;601,283;FALSE;200,00%;0,221;0;0;TRUE;0,00%
big;464-Randomized_vertices-0.15-dwt__503.hwb;0;;;;;0,00%;2;51;600;FALSE;HxSolutionStatus.FEASIBLE;200,00%;8;122;611,933;FALSE;800,00%;0,503;1;1;TRUE;0,00%
big;465-Randomized_vertices-0.15-dwt__592.hwb;0;;;;;0,00%;3;347;600;FALSE;HxSolutionStatus.FEASIBLE;300,00%;6;33;609,326;FALSE;600,00%;0,592;0;0;TRUE;0,00%
big;466-Randomized_vertices-0.15-dwt__607.hwb;0;;;;;0,00%;2;228;600;FALSE;HxSolutionStatus.FEASIBLE;200,00%;6;89;616,218;FALSE;600,00%;0,607;0;0;TRUE;0,00%
big;47-Randomized_edges-0.15-fs_541_1.hwb;2;;;;;-66,67%;4;418;600;FALSE;HxSolutionStatus.FEASIBLE;66,67%;8;247;602,694;FALSE;200,00%;2,006;432;600;FALSE;0,00%
big;470-Randomized_vertices-0.15-fs_183_1.hwb;0;;;;;0,00%;0;1;1;TRUE;HxSolutionStatus.OPTIMAL;0,00%;1;85;601,281;FALSE;100,00%;0,183;0;0;TRUE;0,00%
big;486-Randomized_vertices-0.15-impcol_e.hwb;0;;;;;0,00%;1;29;600;FALSE;HxSolutionStatus.FEASIBLE;100,00%;6;280;601,962;FALSE;600,00%;0,225;0;0;TRUE;0,00%
big;493-Randomized_vertices-0.15-lund_a.hwb;0;;;;;0,00%;0;22;22;TRUE;HxSolutionStatus.OPTIMAL;0,00%;0;68;68,929;TRUE;0,00%;0,147;0;0;TRUE;0,00%
big;510-Randomized_vertices-0.15-saylr1.hwb;0;;;;;0,00%;1;6;600;FALSE;HxSolutionStatus.FEASIBLE;100,00%;2;3;602,726;FALSE;200,00%;0,238;0;0;TRUE;0,00%
big;512-Randomized_vertices-0.15-sherman4.hwb;0;;;;;0,00%;2;1;600;FALSE;HxSolutionStatus.FEASIBLE;200,00%;4;0;616,681;FALSE;400,00%;0,546;23;23;TRUE;0,00%
